fire_name,city,start_date,end_date,acres_burned
Anita Fire,Rancho San Diego,2024-08-12,2024-08-15,20
Queenstone Fire,Lucas Valley-Marinwood,2024-08-13,2024-08-15,18
Quarry Fire,Twain Harte,2023-09-09,2023-11-15,9130
Papa Fire,Camp Pendleton North,2024-08-13,2024-08-18,60
Moon Fire,Glendora,2024-08-13,2024-08-14,15
Kahlon Fire,Chowchilla,2024-08-13,2024-08-13,17
Bruns Fire,Byron,2024-08-14,2024-08-14,25
White Fire,Cabazon,2024-08-14,2024-08-18,13
Marco Fire,Mountain View Acres,2024-08-16,2024-08-18,65
Livermore Fire,Livermore,2024-08-19,2024-08-19,16
Bishop Fire,San Luis Obispo,2024-08-20,2024-08-20,15
Grade Fire,Buellton,2024-08-20,2024-08-22,25
Canyon Fire,Sunland,2024-08-21,2024-08-23,25
Refugio Fire,Santa Ynez,2024-08-23,2024-08-26,86
Motor Fire,Lebec,2024-08-23,2024-08-23,11
Proctor 8 Fire,Jamul,2024-08-23,2024-08-26,27
Benito Fire,Mendota,2024-08-24,2024-08-24,17
Summit Fire ,Oak Hills,2024-08-24,2024-08-25,76
Wild Wash Fire,Silver Lakes,2024-08-24,2024-08-25,23
Solar Fire,Gustine,2024-08-25,2024-08-25,22
Excelsior Fire,Rancho Cordova,2024-08-26,2024-08-26,38
Pioneer Fire,Lucerne Valley,2024-08-27,2024-08-28,22
Johnson Fire,Phelan,2024-08-27,2024-08-30,15
Keys Fire,Hidden Meadows,2024-08-28,2024-08-30,18
Gulch Fire,Temelec,2024-08-28,2024-08-30,19
Silver Fire,Buckhorn,2024-08-28,2024-08-30,12
Way Fire,Wofford Heights,2024-08-29,2024-08-29,88
Two Fire,Cotati,2024-08-29,2024-08-30,33
Vasco Fire,Livermore,2024-08-29,2024-09-01,16
High Fire,Rancho Tehama Reserve,2024-08-31,2024-09-04,45
Minton Fire,Homeland,2024-08-31,2024-09-02,22
Bichota Fire,Glendora,2024-08-31,2024-08-31,3
Union Fire,Shandon,2024-08-31,2024-08-31,11
Robert Fire,Green Valley,2024-09-01,2024-09-04,48
Record Fire,San Jacinto,2024-09-01,2024-09-05,517
Backus Fire,Rosamond,2024-09-03,2024-09-03,41
Post Fire,Good Hope,2024-09-04,2024-09-05,264
Pine Fire,Redwood Valley,2024-09-06,2024-09-10,18
Canary Fire,Camp Pendleton North,2024-09-06,2024-02-25,25
Roblar Fire ,Camp Pendleton North,2024-09-07,2024-09-11,1000
Mill Creek 4 Fire,Willow Creek,2024-09-07,2024-09-12,25
Boyles Fire,Lower Lake,2024-09-08,2024-09-11,81
Wicklow Fire,Sutter Creek,2024-09-09,2024-09-11,63
Airport Fire,Trabuco Canyon,2024-09-09,2024-10-05,23526
Train Fire,Bear Valley Springs,2024-09-09,2024-09-10,48
Apollo Fire,Green Valley,2024-09-10,2024-09-10,800
Willow Fire,Bay Point,2024-09-11,2024-09-11,62
Cougar Fire,Black Point-Green Point,2024-09-15,2024-09-16,53
Ripple Fire,Squaw Valley,2024-09-15,2024-09-15,15
Rosa Fire,Lompoc,2024-09-16,2024-09-16,20
Phelps Fire,Coalinga,2024-09-19,2024-09-20,35
Antonio Fire,Petaluma,2024-09-23,2024-09-24,11
Plymire Fire,Red Bluff,2024-09-26,2024-09-26,14
Meiss Fire,Rancho Murieta,2024-09-27,2024-09-29,42
Pinnacles Fire,Soledad,2024-09-27,2024-09-28,17
86 Fire,Mecca,2024-09-27,2024-09-29,38
Chase Fire ,Lamont,2024-09-27,2024-09-28,35
Cindy Fire ,Vincent,2024-09-28,2024-09-29,13
Lago Fire,Castaic,2024-10-02,2024-10-06,25
Bear Fire,Redway,2024-10-02,2024-10-09,23
Glenhaven Fire,Clearlake Oaks,2024-10-04,2024-10-09,417
Ruby Fire,Mojave,2024-10-04,2024-10-05,50
Central 2 Fire,Del Rey,2024-10-04,2024-10-04,15
Wolf Fire,Del Rey,2024-10-04,2024-10-05,22
Two Mile Fire,Williams,2024-10-03,2024-10-04,10
Tuledad Fire,Johnstonville,2024-10-06,2024-10-08,420
Verjeles Fire,Loma Rica,2024-10-06,2024-10-07,12
Wood Fire,Redway,2024-10-06,2024-10-09,26
Posta 3 Fire,Campo,2024-10-07,2024-10-08,413
Bahrman Fire,Anza,2024-10-09,2024-10-10,110
Shoe Fire,Bella Vista,2024-10-09,2024-11-09,5124
Jack Fire,Beaumont,2024-10-13,2024-10-15,260
Snake Fire,Santa Margarita,2024-10-17,2024-10-17,8
Maria Fire,Santa Maria,2024-10-17,2024-10-17,80
Hay Fire,Dixon,2024-10-18,2024-10-22,869
Keller Fire,San Leandro,2024-10-18,2024-10-20,15
Mission Fire,Rubidoux,2024-10-18,2024-10-19,17
162 Fire,Willows,2024-10-19,2024-10-19,60
Alray Fire,Oak Hills,2024-10-26,2024-10-27,16
Campbell Fire,East Porterville,2024-10-28,2024-10-30,524
Quarry Fire,La Presa,2024-10-31,2024-10-31,10
Montezuma Fire,Lemon Grove,2024-10-31,2024-11-03,37
Gaylord Fire,Corning,2024-11-03,2024-11-03,47
Wolf Fire,Banning,2024-11-04,2024-11-08,25
Lake Fire,Hayfork,2024-11-05,2024-11-11,44
Valley Fire,Anderson,2024-11-06,2024-11-08,11
Frenchman Fire,Castaic,2024-11-07,2024-11-10,94
Santa Lucia Fire,Vandenberg Village,2024-11-07,2024-11-12,125
Waucoba Fire,Big Pine,2024-11-11,2024-11-12,8
John Fire,South Dos Palos,2024-11-14,2024-11-15,13
Kamm Fire,Mendota,2024-11-16,2024-11-16,10
Sandy Fire,San Miguel,2024-11-17,2024-11-18,23
Broadway Fire,King City,2024-11-21,2024-11-23,57
Franklin Fire,Las Flores,2024-12-09,2024-12-18,4037
Addie Fire,Buttonwillow,2024-12-14,2024-12-15,30
Soto Fire,Sunnyslope,2024-12-17,2024-12-18,25
Palisades Fire,Topanga,2025-01-07,2025-01-31,23707
Eaton Fire,Sierra Madre,2025-01-07,2025-01-31,14021
Hurst Fire,San Fernando,2025-01-07,2025-01-16,799
Lidia Fire,Acton,2025-01-08,2025-01-11,395
Kenneth Fire,West Hills,2025-01-09,2025-01-12,1052
Archer Fire,San Fernando,2025-01-10,2025-01-10,19
Scout Fire,Rubidoux,2025-01-14,2025-01-14,2
Little Mountain Fire,Muscoy,2025-01-15,2025-01-16,34
Lilac Fire,Bonsall,2025-01-21,2025-01-22,85
Clay Fire,Pedley,2025-01-21,2025-01-25,39
Center Fire,Rancho Penasquitos,2025-01-22,2025-01-22,7
Sepulveda Fire,Sherman Oaks,2025-01-23,2025-01-24,45
Laguna Fire,Camarillo,2025-01-23,2025-01-26,83
Gilman Fire,La Jolla,2025-01-23,2025-01-24,2
Gibbel Fire,Hemet,2025-01-23,2025-01-24,15
Rosa Fire,Lost Hills,2025-01-29,2025-01-29,105
Penny Fire,Pine Valley,2025-02-26,2025-02-27,9
Scout Fire,Julian,2025-02-28,2025-02-28,39
Ranch Fire,Adelanto,2025-03-08,2025-03-09,60
Range Fire,Vandenberg Space Force Base,2025-03-12,2025-03-12,14
